month,negative,neutral,positive,review_count
2024-02,42.62305848356483,8.481922963254853,48.89501855318031,30453
2024-03,43.79815310638763,8.548713185071854,47.653133708540516,36602
2024-04,47.03359701359879,8.836992267354013,44.12941071904719,45004
2024-05,46.31953028430161,8.98176761433869,44.69870210135971,64720
2024-06,48.615361759025404,9.231912048729757,42.15272619224484,67310
2024-07,48.6427387568072,9.082299196367638,42.274962046825166,71799
2024-08,47.64950431723697,9.014057090418653,43.33643859234438,71921
2024-09,46.03974875001741,9.006838344869848,44.95341290511274,71801
2024-10,44.7624791849686,8.664297795901241,46.57322301913016,76267
2024-11,43.771453737645885,9.027085141384179,47.20146112096993,77201
2024-12,43.77663574830785,9.078716470293307,47.144647781398845,79780
2025-01,44.34533372749122,8.977802912484094,46.676863360024676,77803
2025-02,45.63451461879515,9.072024307816328,45.29346107338853,64506
2025-03,45.819773748644046,8.769177126917713,45.41104912443824,51624
2025-04,48.172927748226954,9.163065159574469,42.66400709219858,72192
2025-05,46.7935871743487,8.743244063885347,44.46316876176596,65868
2025-06,49.04682500338005,9.00746616191206,41.94570883470789,66567
2025-07,46.19993522616863,8.954982187196373,44.845082586635,74104
2025-08,45.65871238721132,8.79519828282962,45.54608932995906,75473
2025-09,45.33860143517039,8.57034949594724,46.09104906888237,68842
2025-10,44.35771758839528,8.879193109700816,46.7630893019039,70592
2025-11,43.27648337539938,8.849919028930744,47.87359759566987,68543
2025-12,43.70394104453701,8.825842532987679,47.47021642247532,68662
2026-01,43.74602256291582,8.944171246745732,47.30980619033844,34570
