storeid,completestorename,city,pct_negative,pct_neutral,pct_positive,review_count,top_complaint_aspect,top_praise_aspect
fnx1,Uni Bites Pizzeria,Peshawar,35.294117647058826,5.88235294117647,58.82352941176471,34,taste,taste
jwys,Chilli 41,Faisalabad,67.64705882352942,11.76470588235294,20.588235294117645,34,hygiene,taste
ay0o,Mala Pan Asian Cuisine,Lahore,35.294117647058826,5.88235294117647,58.82352941176471,34,taste,quantity
phpj,Mid Town Pizza - GM Abad,Rahim Yar Khan,73.52941176470588,5.88235294117647,20.588235294117645,34,taste,taste
r9me,Noor's Kitchen,Bahawalpur,26.47058823529412,11.76470588235294,61.76470588235294,34,taste,taste
pkda,Hico Dairy Ice Cream - Multan,Multan,11.76470588235294,5.88235294117647,82.35294117647058,34,delivery_rider,taste
gs8f,M.H Foods,Sahiwal,61.76470588235294,8.823529411764707,29.411764705882355,34,taste,taste
h10o,Karachi Student Biryani & Murgh Pulao,Wah Cantt,23.52941176470588,17.647058823529413,58.82352941176471,34,price,taste
dx0n,Urban Zaika,Karachi,20.588235294117645,8.823529411764707,70.58823529411765,34,quantity,taste
jyl1,Bilal Restaurant,Karachi,29.411764705882355,17.647058823529413,52.94117647058824,34,quantity,taste
nojg,Zam Zam Peyala Biryani & Juice Centre,Karachi,38.23529411764706,14.705882352941178,47.05882352941176,34,delivery_rider,taste
vuzc,Artisan’s Plate,Peshawar,58.82352941176471,2.941176470588235,38.23529411764706,34,taste,taste
ylw4,BunMan -Premium Smash Burgers-,Lahore,20.588235294117645,8.823529411764707,70.58823529411765,34,taste,taste
d8eq,Pizza Loft,Karachi,29.411764705882355,2.941176470588235,67.64705882352942,34,taste,taste
d77r,Sasta Chinese,Karachi,55.88235294117647,5.88235294117647,38.23529411764706,34,taste,taste
b57t,Rehmat Tea,Karachi,44.11764705882353,11.76470588235294,44.11764705882353,34,hygiene,taste
h3yq,Makkah House,Karachi,61.76470588235294,17.647058823529413,20.588235294117645,34,quantity,quantity
l31t,Quetta Zam Zam Hotel,Karachi,64.70588235294117,0.0,35.294117647058826,34,quantity,taste
rz6m,Delicious Kitchen,Lahore,41.17647058823529,11.76470588235294,47.05882352941176,34,taste,taste
bl07,Fresh Sip - The Soda Shop,Karachi,64.70588235294117,8.823529411764707,26.47058823529412,34,taste,taste
gk6j,Abbas Dairy Milk Shakes and Icecream,Karachi,52.94117647058824,8.823529411764707,38.23529411764706,34,taste,taste
gikb,Khatri King Foods - Phase 5,Karachi,32.35294117647059,5.88235294117647,61.76470588235294,34,taste,taste
v5e3,Malmo Bakers & Sweets - Dharampura,Lahore,55.88235294117647,17.647058823529413,26.47058823529412,34,taste,taste
eusg,Karachi Naseeb Biryani And Murgh Pulao,Okara,44.11764705882353,14.705882352941178,41.17647058823529,34,taste,taste
q1oh,CHEEZY CRUNCH,Lahore,44.11764705882353,11.76470588235294,44.11764705882353,34,price,taste
q3z4,Crispy Planet - Hockey Stadium,Faisalabad,52.94117647058824,8.823529411764707,38.23529411764706,34,taste,taste
itj4,Hyderabadi Chicken Biryani,Bahawalpur,5.88235294117647,5.88235294117647,88.23529411764706,34,taste,taste
exm6,JustYum,Karachi,32.35294117647059,5.88235294117647,61.76470588235294,34,taste,taste
xvnl,FOOD FANTASIA,Lahore,47.05882352941176,11.76470588235294,41.17647058823529,34,taste,taste
y18v,RÜYA,Karachi,32.35294117647059,2.941176470588235,64.70588235294117,34,taste,taste
biv6,Peshawari Ice Cream - Qasimabad,Hyderabad,38.23529411764706,14.705882352941178,47.05882352941176,34,taste,taste
bwfw,Star Mugs Coffee Shop,Jhelum,41.17647058823529,2.941176470588235,55.88235294117647,34,taste,taste
ctz7,Haleem Master,Karachi,52.94117647058824,5.88235294117647,41.17647058823529,34,taste,price
jcw0,Al Ali Restaurant & Nashta House,Lahore,50.0,8.823529411764707,41.17647058823529,34,quantity,taste
m6l9,Hafiz Food Point,Faisalabad,38.23529411764706,11.76470588235294,50.0,34,taste,taste
j65f,Al Hamd Pakwan & Restaurant,Karachi,61.76470588235294,5.88235294117647,32.35294117647059,34,taste,delivery_rider
uzq7,The Cheezious Pizza,Hyderabad,50.0,2.941176470588235,47.05882352941176,34,taste,taste
f0d5,MA Home Chef,Gujrat,41.17647058823529,0.0,58.82352941176471,34,taste,taste
s12t,Frogurt - Gulshan,Karachi,38.23529411764706,5.88235294117647,55.88235294117647,34,quantity,taste
ozik,Ice Food & Dry Fruits - Model Town,Lahore,76.47058823529412,11.76470588235294,11.76470588235294,34,taste,delivery_rider
uxp0,Meta Boost juice Bar - wadhu road,Hyderabad,58.82352941176471,11.76470588235294,29.411764705882355,34,delivery_rider,taste
u7kz,Chandni Restaurant,Rawalpindi,44.11764705882353,2.941176470588235,52.94117647058824,34,taste,taste
l1gc,Ice Point,Karachi,47.05882352941176,14.705882352941178,38.23529411764706,34,taste,taste
bn5p,Tasty Bites Momos,Multan,79.41176470588235,8.823529411764707,11.76470588235294,34,taste,taste
