aspect,total_mentions,pct_negative,pct_positive
taste,513727,39.8949247362899,56.52418502434172
quantity,219665,54.93911182937655,34.38736257482986
price,85693,56.26597271655795,35.80572508839695
delivery_rider,77831,50.24476108491475,43.29251840526268
hygiene,52114,82.9220554937253,11.023909122308785
packaging,50862,51.65939208053163,40.47815658055129
service,25330,52.24240031583103,42.116067903671535
