city,aspect,mentions,pct_negative,reliable_sample
Quetta,service,145,53.103448275862064,True
Rahim Yar Khan,taste,3578,40.2738960313024,True
Rahim Yar Khan,quantity,1318,56.373292867981796,True
Rahim Yar Khan,delivery_rider,606,40.5940594059406,True
Rahim Yar Khan,price,469,59.914712153518124,True
Rahim Yar Khan,hygiene,241,86.72199170124482,True
Rahim Yar Khan,packaging,206,54.36893203883495,True
Rahim Yar Khan,service,152,47.368421052631575,True
Rawalpindi,taste,36069,38.56220022734204,True
Rawalpindi,quantity,14174,55.08677860872019,True
Rawalpindi,price,5640,57.234042553191486,True
Rawalpindi,delivery_rider,5265,48.566001899335234,True
Rawalpindi,packaging,4074,47.889052528227786,True
Rawalpindi,hygiene,3360,79.9702380952381,True
Rawalpindi,service,1761,49.51731970471323,True
Sadiqabad,taste,738,36.58536585365854,True
Sadiqabad,quantity,242,59.917355371900825,True
Sadiqabad,delivery_rider,122,39.34426229508197,True
Sadiqabad,price,86,56.97674418604651,True
Sadiqabad,hygiene,39,82.05128205128204,True
Sadiqabad,service,30,46.666666666666664,True
Sadiqabad,packaging,29,51.724137931034484,True
Sahiwal,taste,5405,36.13320999074931,True
Sahiwal,quantity,2030,54.63054187192118,True
Sahiwal,price,707,54.31400282885431,True
Sahiwal,delivery_rider,652,48.77300613496933,True
Sahiwal,packaging,484,51.446280991735534,True
Sahiwal,hygiene,362,84.25414364640883,True
Sahiwal,service,158,51.26582278481012,True
Sargodha,taste,9412,38.14279643008925,True
Sargodha,quantity,3906,56.32360471070148,True
Sargodha,price,1389,54.21166306695464,True
Sargodha,delivery_rider,1375,46.32727272727273,True
Sargodha,packaging,859,52.15366705471478,True
Sargodha,hygiene,769,85.56566970091028,True
Sargodha,service,388,50.25773195876289,True
Sheikhupura,taste,818,34.474327628361856,True
Sheikhupura,quantity,300,60.66666666666667,True
Sheikhupura,delivery_rider,136,38.970588235294116,True
Sheikhupura,price,101,51.48514851485149,True
Sheikhupura,packaging,54,57.407407407407405,True
Sheikhupura,hygiene,48,83.33333333333334,True
Sheikhupura,service,37,51.35135135135135,True
Sialkot,taste,14998,37.39831977597013,True
Sialkot,quantity,5772,55.38808038808038,True
Sialkot,delivery_rider,2144,49.76679104477612,True
Sialkot,price,1905,59.00262467191602,True
Sialkot,hygiene,1258,85.45310015898251,True
Sialkot,packaging,1258,53.65659777424483,True
Sialkot,service,654,55.65749235474006,True
Sukkur,taste,1595,42.758620689655174,True
Sukkur,quantity,803,62.889165628891654,True
Sukkur,delivery_rider,325,43.69230769230769,True
Sukkur,price,275,60.0,True
Sukkur,packaging,192,44.79166666666667,True
Sukkur,hygiene,181,86.1878453038674,True
Sukkur,service,93,50.53763440860215,True
Wah Cantt,taste,4883,34.44603727216875,True
Wah Cantt,quantity,1864,55.311158798283266,True
Wah Cantt,delivery_rider,778,47.04370179948586,True
Wah Cantt,price,669,54.26008968609865,True
Wah Cantt,packaging,416,49.27884615384615,True
Wah Cantt,hygiene,350,82.57142857142857,True
Wah Cantt,service,215,57.20930232558139,True
